case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1775,0.0278,2,1065,2,1,0,0.5,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,1,3,0.0625,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,59,0,0.5514,72,2
DER0001,DER,0.1718,0.0857,7,1490,7,4,0,0.5714,14,0,0,0.0,11,0,0,0.0,16,1,0,0.0625,20,1,5,0.05,22,0,0,0.0,32,2,0,0.0625,2,0,0,0.0,127,42,0,0.3307,70,6
GAS0007,GAS,0.1422,0.0571,10,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,0,3,0.0,16,0,0,0.0,28,10,0,0.3571,0,0,0,,71,21,0,0.2958,35,2
GEN0001,GEN,0.1477,0.0217,6,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,1,4,0.0769,13,0,0,0.0,55,5,0,0.0909,1,0,0,0.0,121,33,0,0.2727,46,1
MSK0008,MSK,0.162,0.0,4,1420,0,0,0,,3,0,0,0.0,52,0,0,0.0,48,0,0,0.0,8,0,0,0.0,8,0,0,0.0,58,4,0,0.069,0,0,0,,133,88,0,0.6617,111,0
MSK0013,MSK,0.2008,0.0326,2,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,0,0,0.0,9,1,3,0.1111,13,0,0,0.0,59,0,1,0.0,0,0,0,,151,67,0,0.4437,92,3
MSK0017,MSK,0.1778,0.0092,2,1800,0,0,0,,4,0,0,0.0,50,1,0,0.02,38,0,0,0.0,17,0,5,0.0,11,0,0,0.0,79,2,2,0.0253,0,0,0,,319,125,0,0.3918,109,1
MSK0025,MSK,0.1142,0.0,1,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,5,0.0,13,0,0,0.0,40,1,1,0.025,0,0,0,,143,51,0,0.3566,93,0
MSK0026,MSK,0.193,0.0208,1,1352,2,0,0,0.0,6,1,0,0.1667,52,0,0,0.0,24,0,0,0.0,12,1,2,0.0833,7,0,0,0.0,41,0,0,0.0,0,0,0,,127,54,0,0.4252,96,2
MSK0041,MSK,0.1379,0.037,6,1566,3,1,0,0.3333,12,1,0,0.0833,44,0,0,0.0,36,1,0,0.0278,11,0,3,0.0,9,0,0,0.0,63,5,1,0.0794,2,1,0,0.5,142,74,0,0.5211,108,4
