case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1315,0.0556,1,1065,2,1,0,0.5,5,0,0,0.0,38,3,0,0.0789,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,62,0,0.5794,72,4
DER0001,DER,0.1268,0.0143,4,1490,7,0,0,0.0,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,1,6,0.05,22,1,0,0.0455,32,3,0,0.0938,2,0,0,0.0,127,43,0,0.3386,70,1
GAS0007,GAS,0.1027,0.0857,10,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,1,1,0.0667,16,0,0,0.0,28,9,0,0.3214,0,0,0,,71,9,0,0.1268,35,3
GEN0001,GEN,0.1149,0.0,5,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,0,5,0.0,13,0,0,0.0,55,5,0,0.0909,1,0,0,0.0,121,40,0,0.3306,46,0
MSK0008,MSK,0.119,0.009,4,1420,0,0,0,,3,0,0,0.0,52,0,0,0.0,48,0,0,0.0,8,1,2,0.125,8,0,0,0.0,58,3,0,0.0517,0,0,0,,133,87,0,0.6541,111,1
MSK0013,MSK,0.1216,0.0326,3,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,0,0,0.0,9,1,3,0.1111,13,0,0,0.0,59,1,2,0.0169,0,0,0,,151,83,0,0.5497,92,3
MSK0017,MSK,0.1406,0.0,3,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,0,0,0.0,17,0,0,0.0,11,0,0,0.0,79,3,0,0.038,0,0,0,,319,185,0,0.5799,109,0
MSK0025,MSK,0.1004,0.0,1,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,3,0.0,13,0,0,0.0,40,1,1,0.025,0,0,0,,143,58,0,0.4056,93,0
MSK0026,MSK,0.1132,0.0312,3,1352,2,0,0,0.0,6,1,0,0.1667,52,0,0,0.0,24,0,0,0.0,12,2,1,0.1667,7,0,0,0.0,41,1,0,0.0244,0,0,0,,127,64,0,0.5039,96,3
MSK0041,MSK,0.1769,0.0093,2,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,0,0,0.0,11,0,3,0.0,9,0,0,0.0,63,1,0,0.0159,2,0,0,0.0,142,54,0,0.3803,108,1
MSK0046,MSK,0.1118,0.0,1,1252,2,0,0,0.0,6,0,0,0.0,15,0,0,0.0,16,0,0,0.0,10,0,3,0.0,8,0,0,0.0,27,1,0,0.037,0,0,0,,187,49,0,0.262,49,0
RES0012,RES,0.169,0.0202,8,2095,3,0,0,0.0,12,1,0,0.0833,54,0,0,0.0,20,1,0,0.05,10,0,6,0.0,14,0,0,0.0,93,8,0,0.086,0,0,0,,325,94,0,0.2892,99,2
RES0021,RES,0.1399,0.0,5,1258,1,0,0,0.0,12,0,0,0.0,47,0,0,0.0,17,0,0,0.0,16,0,0,0.0,11,0,0,0.0,70,5,1,0.0714,0,0,0,,152,79,0,0.5197,93,0
RES0025,RES,0.1466,0.0267,2,1371,2,0,0,0.0,4,0,0,0.0,32,0,0,0.0,14,1,0,0.0714,23,1,1,0.0435,25,0,0,0.0,29,1,0,0.0345,0,0,0,,171,82,0,0.4795,75,2
RES0030,RES,0.1206,0.0361,3,1186,1,0,0,0.0,6,0,0,0.0,52,3,0,0.0577,12,0,0,0.0,12,0,3,0.0,23,0,0,0.0,34,3,0,0.0882,0,0,0,,112,67,0,0.5982,83,3
RES0047,RES,0.1603,0.0098,3,1697,7,0,0,0.0,10,0,0,0.0,48,0,0,0.0,14,0,0,0.0,22,1,5,0.0455,23,1,0,0.0435,40,2,0,0.05,1,0,0,0.0,259,179,0,0.6911,102,1
RES0051,RES,0.1364,0.0149,6,975,1,0,0,0.0,4,0,0,0.0,39,1,0,0.0256,15,0,0,0.0,8,0,3,0.0,13,0,0,0.0,51,6,0,0.1176,0,0,0,,81,52,0,0.642,67,1
RES0052,RES,0.1671,0.0,4,820,0,0,0,,1,0,0,0.0,27,0,0,0.0,12,0,0,0.0,7,0,2,0.0,9,1,0,0.1111,55,4,2,0.0727,0,0,0,,105,73,0,0.6952,47,0
RES0053,RES,0.1672,0.0971,12,1914,1,0,0,0.0,12,0,0,0.0,49,1,0,0.0204,23,3,0,0.1304,18,6,1,0.3333,21,1,0,0.0476,76,6,0,0.0789,0,0,0,,149,55,0,0.3691,103,10
RES0059,RES,0.1207,0.0361,5,1342,7,1,0,0.1429,6,0,0,0.0,38,1,0,0.0263,17,0,0,0.0,14,1,2,0.0714,23,0,0,0.0,57,3,0,0.0526,1,0,0,0.0,142,69,0,0.4859,83,3
