case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1662,0.0972,7,1065,2,2,0,1.0,5,0,0,0.0,38,2,0,0.0526,11,0,0,0.0,16,3,2,0.1875,19,1,0,0.0526,21,2,0,0.0952,0,0,0,,107,65,0,0.6075,72,7
DER0001,DER,0.1906,0.0714,9,1490,7,2,0,0.2857,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,3,7,0.15,22,1,0,0.0455,32,4,1,0.125,2,0,0,0.0,127,48,0,0.378,70,5
GAS0007,GAS,0.1772,0.2,16,886,2,1,0,0.5,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,4,1,0.2667,16,1,0,0.0625,28,11,0,0.3929,0,0,0,,71,27,0,0.3803,35,7
GEN0001,GEN,0.1696,0.0217,13,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,1,6,0.0769,13,1,0,0.0769,55,12,0,0.2182,1,0,0,0.0,121,42,0,0.3471,46,1
MSK0008,MSK,0.2352,0.0901,34,1420,0,0,0,,3,0,0,0.0,52,6,0,0.1154,48,2,0,0.0417,8,2,2,0.25,8,0,0,0.0,58,32,1,0.5517,0,0,0,,133,93,0,0.6992,111,10
MSK0013,MSK,0.1697,0.0978,5,1579,4,2,0,0.5,8,0,0,0.0,38,4,0,0.1053,33,1,0,0.0303,9,2,4,0.2222,13,0,0,0.0,59,1,3,0.0169,0,0,0,,151,82,0,0.543,92,9
MSK0017,MSK,0.2189,0.0642,12,1800,0,0,0,,4,0,0,0.0,50,3,0,0.06,38,2,0,0.0526,17,2,3,0.1176,11,1,0,0.0909,79,10,2,0.1266,0,0,0,,319,202,0,0.6332,109,7
MSK0025,MSK,0.1798,0.0645,17,1524,2,0,0,0.0,2,0,0,0.0,40,2,0,0.05,29,2,0,0.069,20,2,5,0.1,13,1,0,0.0769,40,15,1,0.375,0,0,0,,143,67,0,0.4685,93,6
MSK0026,MSK,0.2115,0.125,29,1352,2,1,0,0.5,6,1,0,0.1667,52,7,0,0.1346,24,1,0,0.0417,12,2,4,0.1667,7,0,0,0.0,41,26,0,0.6341,0,0,0,,127,68,0,0.5354,96,12
MSK0041,MSK,0.1986,0.0833,25,1566,3,1,0,0.3333,12,6,0,0.5,44,1,0,0.0227,36,0,0,0.0,11,0,3,0.0,9,0,0,0.0,63,24,0,0.381,2,1,0,0.5,142,81,0,0.5704,108,9
MSK0046,MSK,0.1869,0.0612,6,1252,2,0,0,0.0,6,0,0,0.0,15,1,0,0.0667,16,2,0,0.125,10,0,3,0.0,8,1,0,0.125,27,6,0,0.2222,0,0,0,,187,116,0,0.6203,49,3
RES0012,RES,0.211,0.0505,26,2095,3,1,0,0.3333,12,0,0,0.0,54,1,0,0.0185,20,3,0,0.15,10,0,5,0.0,14,1,0,0.0714,93,25,1,0.2688,0,0,0,,325,139,0,0.4277,99,5
