case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.2404,0.0139,1,1065,2,1,0,0.5,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,53,0,0.4953,72,1
DER0001,DER,0.1698,0.0429,5,1490,7,1,0,0.1429,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,2,6,0.1,22,0,0,0.0,32,2,0,0.0625,2,0,0,0.0,127,41,0,0.3228,70,3
GAS0007,GAS,0.1659,0.1143,9,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,2,1,0.1333,16,0,0,0.0,28,7,0,0.25,0,0,0,,71,19,0,0.2676,35,4
GEN0001,GEN,0.1094,0.0,4,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,0,5,0.0,13,0,0,0.0,55,4,0,0.0727,1,0,0,0.0,121,30,0,0.2479,46,0
MSK0008,MSK,0.1951,0.036,5,1420,0,0,0,,3,1,0,0.3333,52,2,0,0.0385,48,0,0,0.0,8,1,2,0.125,8,0,0,0.0,58,4,0,0.069,0,0,0,,133,85,0,0.6391,111,4
MSK0013,MSK,0.2084,0.0543,5,1579,4,1,0,0.25,8,1,0,0.125,38,1,0,0.0263,33,0,0,0.0,9,2,3,0.2222,13,0,0,0.0,59,2,1,0.0339,0,0,0,,151,66,0,0.4371,92,5
MSK0017,MSK,0.1917,0.0092,2,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,1,0,0.0263,17,0,5,0.0,11,0,0,0.0,79,2,2,0.0253,0,0,0,,319,123,0,0.3856,109,1
MSK0025,MSK,0.1621,0.0,3,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,5,0.0,13,0,0,0.0,40,3,1,0.075,0,0,0,,143,55,0,0.3846,93,0
MSK0026,MSK,0.2138,0.0521,5,1352,2,1,0,0.5,6,1,0,0.1667,52,1,0,0.0192,24,0,0,0.0,12,2,1,0.1667,7,0,0,0.0,41,2,0,0.0488,0,0,0,,127,55,0,0.4331,96,5
MSK0041,MSK,0.1322,0.0278,5,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,1,0,0.0278,11,0,2,0.0,9,0,0,0.0,63,4,1,0.0635,2,1,0,0.5,142,72,0,0.507,108,3
MSK0046,MSK,0.147,0.0,0,1252,2,0,0,0.0,6,0,0,0.0,15,0,0,0.0,16,0,0,0.0,10,0,3,0.0,8,0,0,0.0,27,0,0,0.0,0,0,0,,187,55,0,0.2941,49,0
RES0012,RES,0.1718,0.0505,6,2095,3,0,0,0.0,12,1,0,0.0833,54,3,0,0.0556,20,1,0,0.05,10,0,6,0.0,14,0,0,0.0,93,6,0,0.0645,0,0,0,,325,89,0,0.2738,99,5
RES0021,RES,0.2003,0.0,1,1258,1,0,0,0.0,12,0,0,0.0,47,0,0,0.0,17,0,0,0.0,16,0,1,0.0,11,0,0,0.0,70,1,1,0.0143,0,0,0,,152,54,0,0.3553,93,0
RES0025,RES,0.202,0.0133,2,1371,2,0,0,0.0,4,0,0,0.0,32,0,0,0.0,14,0,0,0.0,23,1,1,0.0435,25,0,0,0.0,29,1,0,0.0345,0,0,0,,171,72,0,0.4211,75,1
RES0030,RES,0.1298,0.012,3,1186,1,0,0,0.0,6,0,0,0.0,52,1,0,0.0192,12,0,0,0.0,12,0,3,0.0,23,0,0,0.0,34,3,0,0.0882,0,0,0,,112,70,0,0.625,83,1
RES0047,RES,0.1786,0.0294,4,1697,7,0,0,0.0,10,0,0,0.0,48,0,0,0.0,14,1,0,0.0714,22,2,3,0.0909,23,1,0,0.0435,40,2,0,0.05,1,0,0,0.0,259,183,0,0.7066,102,3
RES0051,RES,0.2185,0.0299,5,975,1,0,0,0.0,4,1,0,0.25,39,1,0,0.0256,15,0,0,0.0,8,0,3,0.0,13,0,0,0.0,51,5,0,0.098,0,0,0,,81,49,0,0.6049,67,2
RES0052,RES,0.2183,0.0,3,820,0,0,0,,1,0,0,0.0,27,0,0,0.0,12,0,0,0.0,7,0,2,0.0,9,1,0,0.1111,55,3,2,0.0545,0,0,0,,105,68,0,0.6476,47,0
RES0053,RES,0.233,0.0874,12,1914,1,0,0,0.0,12,0,0,0.0,49,2,0,0.0408,23,2,0,0.087,18,5,2,0.2778,21,1,0,0.0476,76,7,0,0.0921,0,0,0,,149,56,0,0.3758,103,9
RES0059,RES,0.1639,0.0361,5,1342,7,1,0,0.1429,6,0,0,0.0,38,1,0,0.0263,17,0,0,0.0,14,1,2,0.0714,23,0,0,0.0,57,3,1,0.0526,1,0,0,0.0,142,69,0,0.4859,83,3
RES0062,RES,0.2642,0.042,3,1938,6,0,0,0.0,10,0,0,0.0,55,1,0,0.0182,17,1,0,0.0588,25,3,4,0.12,29,1,0,0.0345,60,0,0,0.0,6,0,0,0.0,215,88,0,0.4093,119,5
RES0071,RES,0.1427,0.0435,1,1296,3,0,0,0.0,4,0,0,0.0,43,2,0,0.0465,16,1,0,0.0625,3,0,0,0.0,23,0,0,0.0,35,1,0,0.0286,0,0,0,,140,57,0,0.4071,69,3
RES0074,RES,0.3355,0.0488,8,1219,1,1,0,1.0,7,0,0,0.0,33,2,0,0.0606,24,0,0,0.0,17,1,8,0.0588,18,0,0,0.0,54,6,0,0.1111,0,0,0,,132,44,0,0.3333,82,4
RES0083,RES,0.2482,0.013,1,971,10,1,0,0.1,7,0,0,0.0,32,0,0,0.0,15,0,0,0.0,13,0,1,0.0,13,0,0,0.0,29,0,0,0.0,0,0,0,,89,36,0,0.4045,77,1
RES0098,RES,0.138,0.0213,1,1442,3,0,0,0.0,18,0,0,0.0,35,0,0,0.0,18,1,0,0.0556,20,1,1,0.05,24,0,0,0.0,36,0,0,0.0,0,0,0,,163,51,0,0.3129,94,2
RES0100,RES,0.1446,0.0185,2,1722,0,0,0,,4,1,0,0.25,56,1,0,0.0179,26,0,0,0.0,22,0,2,0.0,35,0,0,0.0,71,2,0,0.0282,0,0,0,,194,50,0,0.2577,108,2
RES0104,RES,0.2333,0.0326,2,1526,3,0,0,0.0,11,1,0,0.0909,47,2,0,0.0426,17,0,0,0.0,14,0,1,0.0,20,0,0,0.0,52,2,0,0.0385,0,0,0,,169,64,0,0.3787,92,3
RES0106,RES,0.1862,0.0116,2,1257,0,0,0,,5,0,0,0.0,39,1,0,0.0256,13,0,0,0.0,28,0,4,0.0,25,0,0,0.0,69,2,0,0.029,1,0,0,0.0,141,58,0,0.4113,86,1
RES0109,RES,0.1995,0.0167,4,872,3,0,0,0.0,2,0,0,0.0,29,0,0,0.0,16,0,0,0.0,9,1,0,0.1111,11,1,0,0.0909,44,3,2,0.0682,1,0,0,0.0,150,48,0,0.32,60,1
RES0118,RES,0.0917,0.0,1,981,0,0,0,,5,0,0,0.0,31,0,0,0.0,18,0,0,0.0,8,0,0,0.0,18,0,0,0.0,46,1,0,0.0217,0,0,0,,121,30,0,0.2479,62,0
RES0123,RES,0.1574,0.0112,2,1753,1,0,0,0.0,5,0,0,0.0,41,0,0,0.0,20,0,0,0.0,21,1,9,0.0476,22,0,0,0.0,59,1,3,0.0169,1,0,0,0.0,228,92,0,0.4035,89,1
RES0127,RES,0.1612,0.0385,6,1421,1,0,0,0.0,8,1,0,0.125,40,1,0,0.025,18,0,0,0.0,11,1,2,0.0909,25,0,0,0.0,53,5,0,0.0943,0,0,0,,177,45,0,0.2542,78,3
RES0132,RES,0.1028,0.0238,4,1391,5,2,0,0.4,17,0,0,0.0,32,0,0,0.0,14,0,0,0.0,16,0,0,0.0,20,0,0,0.0,40,2,0,0.05,0,0,0,,216,43,0,0.1991,84,2
RES0134,RES,0.12,0.016,1,1741,3,0,0,0.0,10,0,0,0.0,65,1,0,0.0154,23,0,0,0.0,24,1,1,0.0417,22,0,0,0.0,46,0,0,0.0,0,0,0,,243,94,0,0.3868,125,2
RES0143,RES,0.1377,0.0,5,1155,2,0,0,0.0,7,0,0,0.0,39,0,0,0.0,18,0,0,0.0,13,0,0,0.0,23,0,0,0.0,51,5,3,0.098,0,0,0,,165,40,0,0.2424,79,0
RES0155,RES,0.1802,0.0247,2,1498,6,0,0,0.0,12,0,0,0.0,38,2,0,0.0526,10,0,0,0.0,14,0,0,0.0,16,0,0,0.0,44,2,0,0.0455,1,0,0,0.0,266,66,0,0.2481,81,2
RES0160,RES,0.196,0.0299,1,1107,2,1,0,0.5,6,0,0,0.0,37,1,0,0.027,8,0,0,0.0,14,0,3,0.0,15,0,0,0.0,38,0,0,0.0,0,0,0,,92,26,0,0.2826,67,2
RES0163,RES,0.175,0.037,0,1166,0,0,0,,5,0,0,0.0,26,1,0,0.0385,17,1,0,0.0588,6,0,0,0.0,19,0,0,0.0,42,0,2,0.0,0,0,0,,124,43,0,0.3468,54,2
RES0173,RES,0.1794,0.0896,5,1221,0,0,0,,6,0,0,0.0,39,2,0,0.0513,13,3,0,0.2308,8,1,0,0.125,13,0,0,0.0,53,4,0,0.0755,1,0,0,0.0,141,60,0,0.4255,67,6
RES0207,RES,0.1975,0.027,2,805,0,0,0,,6,0,0,0.0,20,1,0,0.05,4,0,0,0.0,7,0,0,0.0,10,0,0,0.0,37,2,1,0.0541,0,0,0,,92,38,0,0.413,37,1
