case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1258,0.0278,2,1065,2,2,0,1.0,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,0,2,0.0,19,1,0,0.0526,21,0,0,0.0,0,0,0,,107,61,0,0.5701,72,2
DER0001,DER,0.1322,0.0286,6,1490,7,2,0,0.2857,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,0,6,0.0,22,0,0,0.0,32,4,0,0.125,2,0,0,0.0,127,46,0,0.3622,70,2
GAS0007,GAS,0.1219,0.0571,10,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,0,0,0.0,15,1,3,0.0667,16,0,0,0.0,28,9,0,0.3214,0,0,0,,71,11,0,0.1549,35,2
GEN0001,GEN,0.1222,0.0217,9,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,1,4,0.0769,13,0,0,0.0,55,8,0,0.1455,1,0,0,0.0,121,38,0,0.314,46,1
MSK0008,MSK,0.138,0.018,6,1420,0,0,0,,3,0,0,0.0,52,1,0,0.0192,48,0,0,0.0,8,1,2,0.125,8,0,0,0.0,58,5,0,0.0862,0,0,0,,133,87,0,0.6541,111,2
MSK0013,MSK,0.1305,0.0543,6,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,0,0,0.0,9,3,1,0.3333,13,0,0,0.0,59,2,1,0.0339,0,0,0,,151,91,0,0.6026,92,5
MSK0017,MSK,0.1467,0.0,7,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,0,0,0.0,17,0,5,0.0,11,0,0,0.0,79,7,0,0.0886,0,0,0,,319,163,0,0.511,109,0
MSK0025,MSK,0.1004,0.0,1,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,3,0.0,13,0,0,0.0,40,1,1,0.025,0,0,0,,143,55,0,0.3846,93,0
MSK0026,MSK,0.1213,0.0417,4,1352,2,1,0,0.5,6,1,0,0.1667,52,0,0,0.0,24,0,0,0.0,12,2,1,0.1667,7,0,0,0.0,41,1,0,0.0244,0,0,0,,127,63,0,0.4961,96,4
MSK0041,MSK,0.122,0.0185,7,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,0,0,0.0,11,0,3,0.0,9,0,0,0.0,63,6,1,0.0952,2,1,0,0.5,142,74,0,0.5211,108,2
MSK0046,MSK,0.1366,0.0204,2,1252,2,0,0,0.0,6,0,0,0.0,15,0,0,0.0,16,0,0,0.0,10,1,0,0.1,8,0,0,0.0,27,1,0,0.037,0,0,0,,187,106,0,0.5668,49,1
RES0012,RES,0.1566,0.0202,15,2095,3,0,0,0.0,12,0,0,0.0,54,1,0,0.0185,20,1,0,0.05,10,0,5,0.0,14,0,0,0.0,93,15,0,0.1613,0,0,0,,325,81,0,0.2492,99,2
RES0021,RES,0.151,0.0215,4,1258,1,0,0,0.0,12,0,0,0.0,47,0,0,0.0,17,2,0,0.1176,16,0,0,0.0,11,0,0,0.0,70,4,0,0.0571,0,0,0,,152,80,0,0.5263,93,2
RES0025,RES,0.1699,0.0133,2,1371,2,0,0,0.0,4,0,0,0.0,32,0,0,0.0,14,0,0,0.0,23,1,1,0.0435,25,0,0,0.0,29,1,0,0.0345,0,0,0,,171,93,0,0.5439,75,1
RES0030,RES,0.113,0.0241,3,1186,1,1,0,1.0,6,0,0,0.0,52,1,0,0.0192,12,0,0,0.0,12,0,3,0.0,23,0,0,0.0,34,2,0,0.0588,0,0,0,,112,66,0,0.5893,83,2
RES0047,RES,0.1308,0.0686,5,1697,7,1,0,0.1429,10,3,0,0.3,48,1,0,0.0208,14,0,0,0.0,22,2,5,0.0909,23,2,0,0.087,40,2,0,0.05,1,0,0,0.0,259,108,0,0.417,102,7
RES0051,RES,0.1385,0.0299,6,975,1,1,0,1.0,4,0,0,0.0,39,1,0,0.0256,15,0,0,0.0,8,0,3,0.0,13,0,0,0.0,51,5,1,0.098,0,0,0,,81,52,0,0.642,67,2
RES0052,RES,0.1841,0.0,5,820,0,0,0,,1,0,0,0.0,27,0,0,0.0,12,0,0,0.0,7,0,2,0.0,9,1,0,0.1111,55,5,1,0.0909,0,0,0,,105,73,0,0.6952,47,0
RES0053,RES,0.1996,0.0971,11,1914,1,0,0,0.0,12,0,0,0.0,49,1,0,0.0204,23,3,0,0.1304,18,6,1,0.3333,21,1,0,0.0476,76,5,0,0.0658,0,0,0,,149,51,0,0.3423,103,10
RES0059,RES,0.1267,0.0241,6,1342,7,1,0,0.1429,6,0,0,0.0,38,0,0,0.0,17,0,0,0.0,14,1,2,0.0714,23,0,0,0.0,57,4,1,0.0702,1,0,0,0.0,142,70,0,0.493,83,2
RES0062,RES,0.2095,0.042,2,1938,6,0,0,0.0,10,1,0,0.1,55,2,0,0.0364,17,1,0,0.0588,25,1,6,0.04,29,0,0,0.0,60,1,0,0.0167,6,0,0,0.0,215,86,0,0.4,119,5
RES0071,RES,0.1103,0.0435,1,1296,3,0,0,0.0,4,0,0,0.0,43,2,0,0.0465,16,1,0,0.0625,3,0,0,0.0,23,0,0,0.0,35,1,1,0.0286,0,0,0,,140,53,0,0.3786,69,3
RES0074,RES,0.128,0.0366,5,1219,1,1,0,1.0,7,0,0,0.0,33,1,0,0.0303,24,0,0,0.0,17,1,8,0.0588,18,0,0,0.0,54,3,1,0.0556,0,0,0,,132,55,0,0.4167,82,3
RES0083,RES,0.139,0.0,2,971,10,0,0,0.0,7,0,0,0.0,32,0,0,0.0,15,0,0,0.0,13,0,1,0.0,13,0,0,0.0,29,2,0,0.069,0,0,0,,89,47,0,0.5281,77,0
RES0098,RES,0.1373,0.0106,2,1442,3,1,0,0.3333,18,0,0,0.0,35,0,0,0.0,18,0,0,0.0,20,0,1,0.0,24,0,0,0.0,36,1,0,0.0278,0,0,0,,163,72,0,0.4417,94,1
RES0100,RES,0.1312,0.0185,7,1722,0,0,0,,4,1,0,0.25,56,1,0,0.0179,26,0,0,0.0,22,0,2,0.0,35,0,0,0.0,71,7,0,0.0986,0,0,0,,194,75,0,0.3866,108,2
RES0104,RES,0.135,0.0109,3,1526,3,0,0,0.0,11,0,0,0.0,47,1,0,0.0213,17,0,0,0.0,14,0,2,0.0,20,0,0,0.0,52,3,0,0.0577,0,0,0,,169,72,0,0.426,92,1
RES0106,RES,0.1663,0.0349,6,1257,0,0,0,,5,0,0,0.0,39,1,0,0.0256,13,0,0,0.0,28,2,4,0.0714,25,1,0,0.04,69,4,0,0.058,1,0,0,0.0,141,72,0,0.5106,86,3
RES0109,RES,0.1927,0.0667,12,872,3,0,0,0.0,2,0,0,0.0,29,3,0,0.1034,16,1,0,0.0625,9,0,0,0.0,11,0,0,0.0,44,12,0,0.2727,1,0,0,0.0,150,90,0,0.6,60,4
RES0118,RES,0.1254,0.0323,7,981,0,0,0,,5,0,0,0.0,31,2,0,0.0645,18,0,0,0.0,8,0,0,0.0,18,0,0,0.0,46,7,0,0.1522,0,0,0,,121,76,0,0.6281,62,2
RES0123,RES,0.1791,0.0225,6,1753,1,0,0,0.0,5,0,0,0.0,41,1,0,0.0244,20,0,0,0.0,21,1,7,0.0476,22,0,0,0.0,59,5,3,0.0847,1,0,0,0.0,228,139,0,0.6096,89,2
RES0127,RES,0.114,0.0256,7,1421,1,0,0,0.0,8,1,0,0.125,40,1,0,0.025,18,0,0,0.0,11,0,2,0.0,25,1,0,0.04,53,7,0,0.1321,0,0,0,,177,52,0,0.2938,78,2
RES0132,RES,0.1416,0.0357,9,1391,5,2,0,0.4,17,0,0,0.0,32,0,0,0.0,14,0,0,0.0,16,1,0,0.0625,20,0,0,0.0,40,6,0,0.15,0,0,0,,216,128,0,0.5926,84,3
RES0134,RES,0.1292,0.0,2,1741,3,0,0,0.0,10,0,0,0.0,65,0,0,0.0,23,0,0,0.0,24,0,1,0.0,22,0,0,0.0,46,2,0,0.0435,0,0,0,,243,125,0,0.5144,125,0
RES0143,RES,0.1619,0.0127,10,1155,2,0,0,0.0,7,0,0,0.0,39,0,0,0.0,18,0,0,0.0,13,1,0,0.0769,23,0,0,0.0,51,9,2,0.1765,0,0,0,,165,92,0,0.5576,79,1
RES0155,RES,0.2136,0.0247,6,1498,6,0,0,0.0,12,1,0,0.0833,38,1,0,0.0263,10,0,0,0.0,14,0,0,0.0,16,0,0,0.0,44,6,0,0.1364,1,0,0,0.0,266,175,0,0.6579,81,2
RES0160,RES,0.1608,0.0746,6,1107,2,1,0,0.5,6,0,0,0.0,37,2,0,0.0541,8,0,0,0.0,14,2,5,0.1429,15,0,0,0.0,38,3,0,0.0789,0,0,0,,92,46,0,0.5,67,5
RES0163,RES,0.1432,0.037,1,1166,0,0,0,,5,0,0,0.0,26,1,0,0.0385,17,1,0,0.0588,6,0,0,0.0,19,0,0,0.0,42,1,2,0.0238,0,0,0,,124,54,0,0.4355,54,2
RES0173,RES,0.1654,0.0597,5,1221,0,0,0,,6,0,0,0.0,39,1,0,0.0256,13,2,0,0.1538,8,1,0,0.125,13,0,0,0.0,53,4,0,0.0755,1,0,0,0.0,141,65,0,0.461,67,4
RES0207,RES,0.1516,0.027,3,805,0,0,0,,6,0,0,0.0,20,1,0,0.05,4,0,0,0.0,7,0,0,0.0,10,0,0,0.0,37,3,0,0.0811,0,0,0,,92,40,0,0.4348,37,1
