case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.2469,0.0278,1,1065,2,1,0,0.5,5,0,0,0.0,38,1,0,0.0263,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,50,0,0.4673,72,2
DER0001,DER,0.1584,0.0143,4,1490,7,1,0,0.1429,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,0,6,0.0,22,0,0,0.0,32,3,0,0.0938,2,0,0,0.0,127,37,0,0.2913,70,1
GAS0007,GAS,0.1445,0.0571,10,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,0,0,0.0,15,1,3,0.0667,16,0,0,0.0,28,9,0,0.3214,0,0,0,,71,20,0,0.2817,35,2
GEN0001,GEN,0.1149,0.0217,5,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,1,4,0.0769,13,0,0,0.0,55,4,0,0.0727,1,0,0,0.0,121,29,0,0.2397,46,1
MSK0008,MSK,0.2056,0.018,4,1420,0,0,0,,3,0,0,0.0,52,1,0,0.0192,48,0,0,0.0,8,1,1,0.125,8,0,0,0.0,58,3,0,0.0517,0,0,0,,133,74,0,0.5564,111,2
MSK0013,MSK,0.1729,0.0435,3,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,0,0,0.0,9,2,3,0.2222,13,0,0,0.0,59,0,1,0.0,0,0,0,,151,66,0,0.4371,92,4
MSK0017,MSK,0.1583,0.0,2,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,0,0,0.0,17,0,5,0.0,11,0,0,0.0,79,2,2,0.0253,0,0,0,,319,73,0,0.2288,109,0
MSK0025,MSK,0.1568,0.0,2,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,3,0.0,13,0,0,0.0,40,2,2,0.05,0,0,0,,143,45,0,0.3147,93,0
MSK0026,MSK,0.1827,0.0312,3,1352,2,1,0,0.5,6,1,0,0.1667,52,0,0,0.0,24,0,0,0.0,12,1,2,0.0833,7,0,0,0.0,41,1,0,0.0244,0,0,0,,127,47,0,0.3701,96,3
MSK0041,MSK,0.1858,0.0093,3,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,0,0,0.0,11,0,2,0.0,9,0,0,0.0,63,2,0,0.0317,2,0,0,0.0,142,52,0,0.3662,108,1
MSK0046,MSK,0.135,0.0,0,1252,2,0,0,0.0,6,0,0,0.0,15,0,0,0.0,16,0,0,0.0,10,0,3,0.0,8,0,0,0.0,27,0,0,0.0,0,0,0,,187,47,0,0.2513,49,0
RES0012,RES,0.157,0.0202,5,2095,3,0,0,0.0,12,0,0,0.0,54,1,0,0.0185,20,1,0,0.05,10,0,5,0.0,14,0,0,0.0,93,5,0,0.0538,0,0,0,,325,83,0,0.2554,99,2
RES0021,RES,0.1836,0.0,1,1258,1,0,0,0.0,12,0,0,0.0,47,0,0,0.0,17,0,0,0.0,16,0,0,0.0,11,0,0,0.0,70,1,1,0.0143,0,0,0,,152,52,0,0.3421,93,0
RES0025,RES,0.1984,0.0267,0,1371,2,0,0,0.0,4,0,0,0.0,32,1,0,0.0312,14,1,0,0.0714,23,0,1,0.0,25,0,0,0.0,29,0,0,0.0,0,0,0,,171,67,0,0.3918,75,2
RES0030,RES,0.1695,0.0241,2,1186,1,0,0,0.0,6,0,0,0.0,52,2,0,0.0385,12,0,0,0.0,12,0,3,0.0,23,0,0,0.0,34,2,0,0.0588,0,0,0,,112,59,0,0.5268,83,2
