case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.2592,0.0,0,1065,2,0,0,0.0,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,52,0,0.486,72,0
DER0001,DER,0.1846,0.0429,6,1490,7,3,0,0.4286,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,0,6,0.0,22,2,0,0.0909,32,3,0,0.0938,2,0,0,0.0,127,40,0,0.315,70,3
GAS0007,GAS,0.1524,0.0857,10,886,2,1,0,0.5,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,0,3,0.0,16,0,0,0.0,28,9,0,0.3214,0,0,0,,71,22,0,0.3099,35,3
GEN0001,GEN,0.1304,0.0217,3,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,1,4,0.0769,13,0,0,0.0,55,2,0,0.0364,1,0,0,0.0,121,31,0,0.2562,46,1
MSK0008,MSK,0.3282,0.0631,6,1420,0,0,0,,3,0,0,0.0,52,4,0,0.0769,48,1,0,0.0208,8,2,2,0.25,8,1,0,0.125,58,4,0,0.069,0,0,0,,133,76,0,0.5714,111,7
MSK0013,MSK,0.2058,0.0435,2,1579,4,1,0,0.25,8,0,0,0.0,38,2,0,0.0526,33,0,0,0.0,9,1,3,0.1111,13,0,0,0.0,59,0,1,0.0,0,0,0,,151,70,0,0.4636,92,4
MSK0017,MSK,0.1489,0.0367,3,1800,0,0,0,,4,0,0,0.0,50,1,0,0.02,38,3,0,0.0789,17,0,5,0.0,11,0,0,0.0,79,3,3,0.038,0,0,0,,319,77,0,0.2414,109,4
MSK0025,MSK,0.1824,0.0215,2,1524,2,0,0,0.0,2,0,0,0.0,40,1,0,0.025,29,1,0,0.0345,20,0,5,0.0,13,0,0,0.0,40,2,2,0.05,0,0,0,,143,45,0,0.3147,93,2
MSK0026,MSK,0.1524,0.0521,4,1352,2,1,0,0.5,6,1,0,0.1667,52,0,0,0.0,24,1,0,0.0417,12,2,2,0.1667,7,0,0,0.0,41,1,1,0.0244,0,0,0,,127,64,0,0.5039,96,5
MSK0041,MSK,0.1501,0.037,8,1566,3,1,0,0.3333,12,1,0,0.0833,44,0,0,0.0,36,1,0,0.0278,11,0,3,0.0,9,0,0,0.0,63,7,1,0.1111,2,1,0,0.5,142,75,0,0.5282,108,4
