case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
day1_consultation01,day,0.2354,0.1429,10,1419,4,0,0,0.0,3,0,0,0.0,29,6,0,0.2069,6,0,0,0.0,27,4,0,0.1481,23,1,0,0.0435,35,6,0,0.1714,1,0,0,0.0,246,142,0,0.5772,70,10
day1_consultation02,day,0.2011,0.0959,10,1671,6,0,0,0.0,14,1,0,0.0714,21,2,0,0.0952,21,1,0,0.0476,11,3,2,0.2727,18,1,0,0.0556,55,7,0,0.1273,0,0,0,,230,139,0,0.6043,73,7
day1_consultation03,day,0.247,0.0923,12,1567,3,0,0,0.0,11,3,0,0.2727,26,1,0,0.0385,17,2,0,0.1176,7,0,0,0.0,22,3,0,0.1364,39,12,0,0.3077,1,0,0,0.0,201,124,0,0.6169,65,6
day1_consultation04,day,0.2784,0.0349,10,1681,4,0,0,0.0,6,0,0,0.0,36,0,0,0.0,28,1,0,0.0357,12,2,0,0.1667,18,0,0,0.0,43,8,0,0.186,0,0,0,,276,199,0,0.721,86,3
day1_consultation05,day,0.2187,0.0556,9,1628,4,0,0,0.0,2,0,0,0.0,27,0,0,0.0,7,1,0,0.1429,12,2,0,0.1667,22,2,0,0.0909,56,7,0,0.125,2,0,0,0.0,222,150,0,0.6757,54,3
day1_consultation06,day,0.1959,0.0714,8,1853,4,3,0,0.75,12,0,0,0.0,25,0,0,0.0,26,0,0,0.0,12,3,0,0.25,30,0,0,0.0,30,2,0,0.0667,5,0,0,0.0,262,115,0,0.4389,84,6
day1_consultation07,day,0.3433,0.2396,56,2709,9,2,0,0.2222,6,1,0,0.1667,28,4,0,0.1429,23,2,0,0.087,29,14,5,0.4828,19,1,0,0.0526,90,40,1,0.4444,1,0,0,0.0,380,247,0,0.65,96,23
day1_consultation08,day,0.2587,0.1333,19,1183,2,1,0,0.5,9,0,0,0.0,14,1,0,0.0714,15,0,0,0.0,4,4,0,1.0,14,1,0,0.0714,38,14,0,0.3684,1,0,0,0.0,168,120,0,0.7143,45,6
day1_consultation09,day,0.2582,0.069,15,1584,1,0,0,0.0,8,0,0,0.0,26,3,0,0.1154,14,0,0,0.0,8,1,0,0.125,17,1,0,0.0588,62,14,0,0.2258,1,0,0,0.0,248,168,0,0.6774,58,4
day1_consultation10,day,0.228,0.1111,16,1890,6,0,0,0.0,5,1,0,0.2,27,4,0,0.1481,15,1,0,0.0667,10,1,0,0.1,25,5,0,0.2,47,15,0,0.3191,9,1,0,0.1111,315,120,0,0.381,72,8
day1_consultation11,day,0.2196,0.1429,19,2332,3,0,0,0.0,5,0,0,0.0,27,1,0,0.037,5,1,0,0.2,29,8,0,0.2759,18,0,0,0.0,64,11,0,0.1719,1,0,0,0.0,408,210,0,0.5147,70,10
day1_consultation12,day,0.2119,0.24,12,1180,4,1,0,0.25,6,0,0,0.0,15,5,0,0.3333,6,0,0,0.0,19,6,1,0.3158,15,0,0,0.0,33,5,0,0.1515,0,0,0,,182,71,0,0.3901,50,12
day1_consultation13,day,0.1705,0.0617,7,1707,8,0,0,0.0,4,0,0,0.0,27,0,0,0.0,15,0,0,0.0,23,5,0,0.2174,24,2,0,0.0833,36,2,0,0.0556,4,0,0,0.0,246,142,0,0.5772,81,5
day1_consultation14,day,0.1956,0.0645,14,1922,4,0,0,0.0,9,0,0,0.0,36,5,0,0.1389,24,0,0,0.0,19,1,5,0.0526,23,2,0,0.087,74,13,1,0.1757,1,0,0,0.0,257,144,0,0.5603,93,6
day1_consultation15,day,0.209,0.1754,16,1268,4,2,0,0.5,11,0,0,0.0,8,0,0,0.0,13,1,0,0.0769,21,7,4,0.3333,18,1,0,0.0556,43,7,0,0.1628,0,0,0,,160,101,0,0.6312,57,10
day2_consultation01,day,0.1859,0.1731,10,1162,0,0,0,,0,0,0,,11,1,0,0.0909,24,5,0,0.2083,17,3,0,0.1765,13,0,0,0.0,19,7,0,0.3684,0,0,0,,154,99,0,0.6429,52,9
day2_consultation02,day,0.2254,0.1429,16,1699,1,0,0,0.0,7,0,0,0.0,4,0,0,0.0,30,1,0,0.0333,20,8,0,0.4,9,1,0,0.1111,40,8,0,0.2,1,0,0,0.0,240,160,0,0.6667,63,9
day2_consultation03,day,0.2323,0.0278,5,1412,0,0,0,,1,0,0,0.0,9,0,0,0.0,17,0,0,0.0,9,1,1,0.1111,10,0,0,0.0,45,4,0,0.0889,0,0,0,,212,135,0,0.6368,36,1
day2_consultation04,day,0.1967,0.2022,22,1825,3,0,0,0.0,13,0,0,0.0,14,1,0,0.0714,32,0,0,0.0,27,17,6,0.6296,13,1,0,0.0769,32,5,0,0.1562,0,0,0,,250,166,0,0.664,89,18
day2_consultation05,day,0.151,0.1757,13,1888,4,0,0,0.0,18,0,0,0.0,5,0,0,0.0,20,2,0,0.1,26,11,0,0.4231,32,1,0,0.0312,33,2,0,0.0606,1,0,0,0.0,202,124,0,0.6139,74,13
day2_consultation06,day,0.1769,0.1333,13,1916,3,0,0,0.0,11,0,0,0.0,15,0,0,0.0,13,2,0,0.1538,16,6,0,0.375,13,1,0,0.0769,45,7,0,0.1556,2,0,0,0.0,260,152,0,0.5846,60,8
day2_consultation07,day,0.2414,0.1231,12,1338,3,0,0,0.0,11,0,0,0.0,8,0,0,0.0,22,0,0,0.0,21,8,7,0.381,13,0,0,0.0,25,4,0,0.16,0,0,0,,250,167,0,0.668,65,8
day2_consultation08,day,0.1673,0.05,7,1799,2,0,0,0.0,6,0,0,0.0,28,0,0,0.0,23,0,0,0.0,17,4,0,0.2353,15,0,0,0.0,38,3,0,0.0789,4,0,0,0.0,196,123,0,0.6276,80,4
day2_consultation09,day,0.2254,0.1379,6,1038,4,1,0,0.25,4,0,0,0.0,5,0,0,0.0,10,1,0,0.1,6,2,2,0.3333,11,1,0,0.0909,24,3,0,0.125,0,0,0,,153,118,0,0.7712,29,4
day2_consultation10,day,0.1769,0.0896,6,1826,13,0,0,0.0,5,0,0,0.0,18,1,0,0.0556,8,0,0,0.0,21,5,3,0.2381,15,0,0,0.0,40,1,0,0.025,2,0,0,0.0,258,175,0,0.6783,67,6
day3_consultation01,day,0.2017,0.2326,16,1259,3,2,0,0.6667,5,0,0,0.0,13,0,0,0.0,8,0,0,0.0,14,8,0,0.5714,7,1,0,0.1429,25,6,0,0.24,0,0,0,,170,70,0,0.4118,43,10
day3_consultation02,day,0.1897,0.1228,14,1160,3,0,0,0.0,1,0,0,0.0,33,0,0,0.0,7,0,0,0.0,13,7,0,0.5385,4,0,0,0.0,48,7,0,0.1458,0,0,0,,185,113,0,0.6108,57,7
day3_consultation03,day,0.2127,0.1831,17,1810,0,0,0,,2,1,0,0.5,29,3,0,0.1034,21,1,0,0.0476,19,8,0,0.4211,13,1,0,0.0769,62,9,0,0.1452,0,0,0,,255,143,0,0.5608,71,13
day3_consultation04,day,0.1861,0.1647,13,1096,15,0,0,0.0,14,0,0,0.0,13,1,0,0.0769,2,1,0,0.5,35,11,0,0.3143,19,1,0,0.0526,22,2,0,0.0909,6,1,0,0.1667,140,56,0,0.4,85,14
day3_consultation05,day,0.1871,0.122,6,1085,1,0,0,0.0,4,0,0,0.0,11,0,0,0.0,9,1,0,0.1111,13,4,3,0.3077,12,0,0,0.0,25,2,0,0.08,3,0,0,0.0,154,71,0,0.461,41,5
day3_consultation06,day,0.2258,0.35,7,589,2,0,0,0.0,2,0,0,0.0,6,1,0,0.1667,3,0,0,0.0,7,6,1,0.8571,1,0,0,0.0,9,1,0,0.1111,0,0,0,,80,50,0,0.625,20,7
day3_consultation07,day,0.1972,0.1525,13,1141,7,1,0,0.1429,19,2,0,0.1053,10,1,0,0.1,11,2,0,0.1818,12,3,0,0.25,8,1,0,0.125,37,9,0,0.2432,0,0,0,,141,64,0,0.4539,59,9
day3_consultation08,day,0.2113,0.1154,6,904,4,0,0,0.0,4,0,0,0.0,23,4,0,0.1739,10,0,0,0.0,11,2,0,0.1818,16,2,0,0.125,30,4,0,0.1333,0,0,0,,158,80,0,0.5063,52,6
day3_consultation09,day,0.1568,0.0278,6,2079,4,0,0,0.0,6,0,0,0.0,28,0,0,0.0,20,0,0,0.0,13,2,5,0.1538,14,0,0,0.0,53,4,0,0.0755,1,0,0,0.0,280,111,0,0.3964,72,2
day3_consultation10,day,0.1773,0.2329,18,1337,2,0,0,0.0,10,0,0,0.0,17,3,0,0.1765,8,0,0,0.0,36,14,2,0.3889,10,0,0,0.0,47,4,0,0.0851,0,0,0,,149,56,0,0.3758,73,17
day4_consultation01,day,0.1613,0.1972,11,1252,0,0,0,,6,1,0,0.1667,18,0,0,0.0,26,3,0,0.1154,21,10,0,0.4762,6,0,0,0.0,21,1,0,0.0476,0,0,0,,113,69,0,0.6106,71,14
