case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
day1_consultation01,day,0.1663,0.0429,3,1419,4,0,0,0.0,3,0,0,0.0,29,3,0,0.1034,6,0,0,0.0,27,0,0,0.0,23,0,0,0.0,35,3,0,0.0857,1,0,0,0.0,246,72,0,0.2927,70,3
day1_consultation02,day,0.2059,0.1507,9,1671,6,1,0,0.1667,14,3,0,0.2143,21,3,0,0.1429,21,1,0,0.0476,11,3,1,0.2727,18,1,0,0.0556,55,5,0,0.0909,0,0,0,,230,97,0,0.4217,73,11
day1_consultation03,day,0.2285,0.0615,4,1567,3,0,0,0.0,11,3,0,0.2727,26,1,0,0.0385,17,0,0,0.0,7,0,0,0.0,22,3,0,0.1364,39,4,0,0.1026,1,0,0,0.0,201,123,0,0.6119,65,4
day1_consultation04,day,0.2284,0.0581,12,1681,4,0,0,0.0,6,0,0,0.0,36,0,0,0.0,28,2,0,0.0714,12,3,0,0.25,18,1,0,0.0556,43,9,0,0.2093,0,0,0,,276,103,0,0.3732,86,5
day1_consultation05,day,0.2052,0.037,8,1628,4,1,0,0.25,2,0,0,0.0,27,1,0,0.037,7,0,0,0.0,12,0,0,0.0,22,1,0,0.0455,56,7,0,0.125,2,0,0,0.0,222,114,0,0.5135,54,2
day1_consultation06,day,0.2132,0.0714,7,1853,4,2,0,0.5,12,0,0,0.0,25,0,0,0.0,26,1,0,0.0385,12,3,0,0.25,30,0,0,0.0,30,2,0,0.0667,5,0,0,0.0,262,148,0,0.5649,84,6
day1_consultation07,day,0.2407,0.1771,39,2709,9,1,0,0.1111,6,0,0,0.0,28,2,0,0.0714,23,1,0,0.0435,29,13,3,0.4483,19,1,0,0.0526,90,25,0,0.2778,1,0,0,0.0,380,175,0,0.4605,96,17
day1_consultation08,day,0.213,0.1111,7,1183,2,0,0,0.0,9,0,0,0.0,14,1,0,0.0714,15,0,0,0.0,4,4,0,1.0,14,1,0,0.0714,38,3,0,0.0789,1,0,0,0.0,168,112,0,0.6667,45,5
day1_consultation09,day,0.221,0.0345,11,1584,1,0,0,0.0,8,0,0,0.0,26,1,0,0.0385,14,0,0,0.0,8,1,0,0.125,17,1,0,0.0588,62,10,0,0.1613,1,0,0,0.0,248,140,0,0.5645,58,2
day1_consultation10,day,0.2503,0.0833,9,1890,6,0,0,0.0,5,1,0,0.2,27,2,0,0.0741,15,1,0,0.0667,10,0,0,0.0,25,4,0,0.16,47,9,0,0.1915,9,2,0,0.2222,315,168,0,0.5333,72,6
day1_consultation11,day,0.1938,0.1857,19,2332,3,0,0,0.0,5,0,0,0.0,27,3,0,0.1111,5,0,0,0.0,29,10,8,0.3448,18,0,0,0.0,64,9,0,0.1406,1,0,0,0.0,408,125,0,0.3064,70,13
day1_consultation12,day,0.2576,0.34,17,1180,4,3,0,0.75,6,1,0,0.1667,15,5,0,0.3333,6,0,0,0.0,19,8,2,0.4211,15,0,0,0.0,33,6,0,0.1818,0,0,0,,182,104,0,0.5714,50,17
day1_consultation13,day,0.1798,0.0617,5,1707,8,0,0,0.0,4,0,0,0.0,27,1,0,0.037,15,0,0,0.0,23,4,0,0.1739,24,2,0,0.0833,36,1,0,0.0278,4,0,0,0.0,246,104,0,0.4228,81,5
