case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
day1_consultation01,day,0.1903,0.0857,7,1419,4,0,0,0.0,3,1,0,0.3333,29,4,0,0.1379,6,0,0,0.0,27,1,0,0.037,23,2,0,0.087,35,6,0,0.1714,1,0,0,0.0,246,72,0,0.2927,70,6
day1_consultation02,day,0.2107,0.0959,11,1671,6,1,0,0.1667,14,1,0,0.0714,21,1,0,0.0476,21,1,0,0.0476,11,3,2,0.2727,18,1,0,0.0556,55,7,0,0.1273,0,0,0,,230,151,0,0.6565,73,7
day1_consultation03,day,0.2431,0.0615,7,1567,3,0,0,0.0,11,3,0,0.2727,26,1,0,0.0385,17,0,0,0.0,7,0,0,0.0,22,3,0,0.1364,39,7,0,0.1795,1,0,0,0.0,201,133,0,0.6617,65,4
day1_consultation04,day,0.2796,0.0581,13,1681,4,0,0,0.0,6,0,0,0.0,36,0,0,0.0,28,2,0,0.0714,12,3,0,0.25,18,0,0,0.0,43,10,0,0.2326,0,0,0,,276,196,0,0.7101,86,5
day1_consultation05,day,0.2279,0.0556,10,1628,4,0,0,0.0,2,0,0,0.0,27,1,0,0.037,7,0,0,0.0,12,1,0,0.0833,22,2,0,0.0909,56,9,0,0.1607,2,1,0,0.5,222,152,0,0.6847,54,3
day1_consultation06,day,0.2682,0.0833,11,1853,4,3,0,0.75,12,0,0,0.0,25,0,0,0.0,26,1,0,0.0385,12,3,0,0.25,30,0,0,0.0,30,5,0,0.1667,5,0,0,0.0,262,196,0,0.7481,84,7
day1_consultation07,day,0.3079,0.2917,47,2709,9,5,0,0.5556,6,1,0,0.1667,28,6,0,0.2143,23,3,0,0.1304,29,13,1,0.4483,19,3,0,0.1579,90,29,0,0.3222,1,0,0,0.0,380,204,0,0.5368,96,28
day1_consultation08,day,0.2578,0.1111,14,1183,2,1,0,0.5,9,0,0,0.0,14,0,0,0.0,15,0,0,0.0,4,4,0,1.0,14,0,0,0.0,38,9,0,0.2368,1,0,0,0.0,168,126,0,0.75,45,5
day1_consultation09,day,0.262,0.0345,15,1584,1,0,0,0.0,8,0,0,0.0,26,1,0,0.0385,14,0,0,0.0,8,1,0,0.125,17,1,0,0.0588,62,14,0,0.2258,1,0,0,0.0,248,168,0,0.6774,58,2
day1_consultation10,day,0.2545,0.125,13,1890,6,0,0,0.0,5,1,0,0.2,27,5,0,0.1852,15,2,0,0.1333,10,0,0,0.0,25,4,0,0.16,47,13,2,0.2766,9,1,0,0.1111,315,153,0,0.4857,72,9
day1_consultation11,day,0.2633,0.1714,22,2332,3,0,0,0.0,5,0,0,0.0,27,4,0,0.1481,5,1,0,0.2,29,7,1,0.2414,18,1,0,0.0556,64,15,0,0.2344,1,0,0,0.0,408,214,0,0.5245,70,12
day1_consultation12,day,0.2381,0.2,9,1180,4,0,0,0.0,6,0,0,0.0,15,5,0,0.3333,6,0,0,0.0,19,5,2,0.2632,15,0,0,0.0,33,4,0,0.1212,0,0,0,,182,127,0,0.6978,50,10
day1_consultation13,day,0.1629,0.0741,8,1707,8,0,0,0.0,4,0,0,0.0,27,0,0,0.0,15,1,0,0.0667,23,5,0,0.2174,24,1,0,0.0417,36,3,0,0.0833,4,0,0,0.0,246,113,0,0.4593,81,6
day1_consultation14,day,0.2326,0.129,21,1922,4,1,0,0.25,9,2,0,0.2222,36,5,0,0.1389,24,3,0,0.125,19,1,4,0.0526,23,2,0,0.087,74,19,0,0.2568,1,0,0,0.0,257,134,0,0.5214,93,12
day1_consultation15,day,0.2413,0.2632,22,1268,4,3,0,0.75,11,2,0,0.1818,8,0,0,0.0,13,2,0,0.1538,21,8,1,0.381,18,0,0,0.0,43,11,0,0.2558,0,0,0,,160,105,0,0.6562,57,15
day2_consultation01,day,0.1902,0.1154,6,1162,0,0,0,,0,0,0,,11,0,0,0.0,24,4,0,0.1667,17,2,0,0.1176,13,1,0,0.0769,19,4,0,0.2105,0,0,0,,154,103,0,0.6688,52,6
