case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.2254,0.0139,1,1065,2,1,0,0.5,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,52,0,0.486,72,1
DER0001,DER,0.1752,0.0286,3,1490,7,2,0,0.2857,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,0,8,0.0,22,0,0,0.0,32,1,0,0.0312,2,0,0,0.0,127,41,0,0.3228,70,2
GAS0007,GAS,0.1501,0.0857,9,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,1,3,0.0667,16,1,0,0.0625,28,8,0,0.2857,0,0,0,,71,21,0,0.2958,35,3
GEN0001,GEN,0.1194,0.0,4,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,0,5,0.0,13,0,0,0.0,55,4,0,0.0727,1,0,0,0.0,121,28,0,0.2314,46,0
MSK0008,MSK,0.2803,0.009,5,1420,0,0,0,,3,0,0,0.0,52,0,0,0.0,48,0,0,0.0,8,1,1,0.125,8,0,0,0.0,58,4,0,0.069,0,0,0,,133,73,0,0.5489,111,1
MSK0013,MSK,0.2115,0.0543,3,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,2,0,0.0606,9,1,3,0.1111,13,0,0,0.0,59,1,1,0.0169,0,0,0,,151,67,0,0.4437,92,5
MSK0017,MSK,0.1561,0.0092,2,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,1,0,0.0263,17,0,5,0.0,11,0,0,0.0,79,2,3,0.0253,0,0,0,,319,78,0,0.2445,109,1
MSK0025,MSK,0.1699,0.0,2,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,3,0.0,13,0,0,0.0,40,2,1,0.05,0,0,0,,143,44,0,0.3077,93,0
MSK0026,MSK,0.1938,0.0312,3,1352,2,1,0,0.5,6,1,0,0.1667,52,0,0,0.0,24,0,0,0.0,12,1,2,0.0833,7,0,0,0.0,41,1,0,0.0244,0,0,0,,127,53,0,0.4173,96,3
MSK0041,MSK,0.1992,0.0093,3,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,0,0,0.0,11,0,2,0.0,9,0,0,0.0,63,2,1,0.0317,2,0,0,0.0,142,53,0,0.3732,108,1
MSK0046,MSK,0.1494,0.0,0,1252,2,0,0,0.0,6,0,0,0.0,15,0,0,0.0,16,0,0,0.0,10,0,3,0.0,8,0,0,0.0,27,0,0,0.0,0,0,0,,187,53,0,0.2834,49,0
RES0012,RES,0.1933,0.0202,4,2095,3,0,0,0.0,12,1,0,0.0833,54,0,0,0.0,20,1,0,0.05,10,0,6,0.0,14,0,0,0.0,93,4,1,0.043,0,0,0,,325,87,0,0.2677,99,2
RES0021,RES,0.1828,0.0,5,1258,1,0,0,0.0,12,0,0,0.0,47,0,0,0.0,17,0,0,0.0,16,0,0,0.0,11,0,0,0.0,70,5,1,0.0714,0,0,0,,152,61,0,0.4013,93,0
RES0025,RES,0.2079,0.0133,3,1371,2,0,0,0.0,4,0,0,0.0,32,0,0,0.0,14,0,0,0.0,23,1,1,0.0435,25,0,0,0.0,29,2,0,0.069,0,0,0,,171,72,0,0.4211,75,1
RES0030,RES,0.129,0.012,3,1186,1,0,0,0.0,6,0,0,0.0,52,1,0,0.0192,12,0,0,0.0,12,0,3,0.0,23,0,0,0.0,34,3,0,0.0882,0,0,0,,112,70,0,0.625,83,1
RES0047,RES,0.1385,0.0098,2,1697,7,0,0,0.0,10,0,0,0.0,48,0,0,0.0,14,0,0,0.0,22,1,5,0.0455,23,1,0,0.0435,40,1,0,0.025,1,0,0,0.0,259,124,0,0.4788,102,1
RES0051,RES,0.1528,0.0149,7,975,1,0,0,0.0,4,0,0,0.0,39,1,0,0.0256,15,0,0,0.0,8,0,3,0.0,13,0,0,0.0,51,7,2,0.1373,0,0,0,,81,52,0,0.642,67,1
RES0052,RES,0.2,0.0213,5,820,0,0,0,,1,0,0,0.0,27,1,0,0.037,12,0,0,0.0,7,0,2,0.0,9,1,0,0.1111,55,5,2,0.0909,0,0,0,,105,71,0,0.6762,47,1
RES0053,RES,0.2294,0.0874,12,1914,1,0,0,0.0,12,0,0,0.0,49,2,0,0.0408,23,2,0,0.087,18,5,2,0.2778,21,1,0,0.0476,76,7,0,0.0921,0,0,0,,149,53,0,0.3557,103,9
RES0059,RES,0.2399,0.0482,8,1342,7,2,0,0.2857,6,0,0,0.0,38,1,0,0.0263,17,0,0,0.0,14,1,2,0.0714,23,0,0,0.0,57,5,0,0.0877,1,0,0,0.0,142,61,0,0.4296,83,4
RES0062,RES,0.2208,0.0252,1,1938,6,0,0,0.0,10,0,0,0.0,55,0,0,0.0,17,1,0,0.0588,25,1,6,0.04,29,1,0,0.0345,60,0,0,0.0,6,1,0,0.1667,215,84,0,0.3907,119,3
RES0071,RES,0.1875,0.0435,1,1296,3,0,0,0.0,4,0,0,0.0,43,3,0,0.0698,16,0,0,0.0,3,0,0,0.0,23,0,0,0.0,35,1,2,0.0286,0,0,0,,140,71,0,0.5071,69,3
RES0074,RES,0.178,0.0366,5,1219,1,1,0,1.0,7,0,0,0.0,33,1,0,0.0303,24,0,0,0.0,17,1,8,0.0588,18,0,0,0.0,54,3,1,0.0556,0,0,0,,132,42,0,0.3182,82,3
RES0083,RES,0.2297,0.013,2,971,10,1,0,0.1,7,0,0,0.0,32,0,0,0.0,15,0,0,0.0,13,0,1,0.0,13,0,0,0.0,29,1,0,0.0345,0,0,0,,89,37,0,0.4157,77,1
RES0098,RES,0.1318,0.0106,2,1442,3,0,0,0.0,18,0,0,0.0,35,0,0,0.0,18,0,0,0.0,20,1,1,0.05,24,0,0,0.0,36,1,1,0.0278,0,0,0,,163,65,0,0.3988,94,1
RES0100,RES,0.1318,0.0185,3,1722,0,0,0,,4,1,0,0.25,56,0,0,0.0,26,1,0,0.0385,22,0,2,0.0,35,0,0,0.0,71,3,0,0.0423,0,0,0,,194,60,0,0.3093,108,2
RES0104,RES,0.1874,0.0217,5,1526,3,0,0,0.0,11,0,0,0.0,47,2,0,0.0426,17,0,0,0.0,14,0,1,0.0,20,0,0,0.0,52,5,0,0.0962,0,0,0,,169,64,0,0.3787,92,2
RES0106,RES,0.187,0.0349,5,1257,0,0,0,,5,0,0,0.0,39,3,0,0.0769,13,0,0,0.0,28,0,4,0.0,25,0,0,0.0,69,5,0,0.0725,1,0,0,0.0,141,60,0,0.4255,86,3
RES0109,RES,0.1892,0.05,5,872,3,0,0,0.0,2,0,0,0.0,29,0,0,0.0,16,0,0,0.0,9,3,0,0.3333,11,0,0,0.0,44,2,0,0.0455,1,0,0,0.0,150,80,0,0.5333,60,3
RES0118,RES,0.1264,0.0,5,981,0,0,0,,5,0,0,0.0,31,0,0,0.0,18,0,0,0.0,8,0,0,0.0,18,0,0,0.0,46,5,0,0.1087,0,0,0,,121,75,0,0.6198,62,0
RES0123,RES,0.1557,0.0112,4,1753,1,0,0,0.0,5,0,0,0.0,41,0,0,0.0,20,0,0,0.0,21,1,7,0.0476,22,1,0,0.0455,59,3,3,0.0508,1,0,0,0.0,228,118,0,0.5175,89,1
RES0127,RES,0.1907,0.0256,5,1421,1,0,0,0.0,8,1,0,0.125,40,0,0,0.0,18,0,0,0.0,11,1,2,0.0909,25,0,0,0.0,53,4,0,0.0755,0,0,0,,177,45,0,0.2542,78,2
RES0132,RES,0.1258,0.0119,3,1391,5,1,0,0.2,17,0,0,0.0,32,0,0,0.0,14,0,0,0.0,16,0,0,0.0,20,0,0,0.0,40,2,0,0.05,0,0,0,,216,114,0,0.5278,84,1
RES0134,RES,0.1091,0.008,2,1741,3,0,0,0.0,10,0,0,0.0,65,0,0,0.0,23,0,0,0.0,24,1,1,0.0417,22,0,0,0.0,46,1,1,0.0217,0,0,0,,243,96,0,0.3951,125,1
RES0143,RES,0.1403,0.0127,7,1155,2,0,0,0.0,7,0,0,0.0,39,0,0,0.0,18,0,0,0.0,13,1,0,0.0769,23,0,0,0.0,51,6,3,0.1176,0,0,0,,165,78,0,0.4727,79,1
RES0155,RES,0.1989,0.0123,2,1498,6,0,0,0.0,12,0,0,0.0,38,1,0,0.0263,10,0,0,0.0,14,0,0,0.0,16,0,0,0.0,44,2,0,0.0455,1,0,0,0.0,266,168,0,0.6316,81,1
RES0160,RES,0.1816,0.0299,3,1107,2,1,0,0.5,6,0,0,0.0,37,1,0,0.027,8,0,0,0.0,14,0,3,0.0,15,0,0,0.0,38,2,0,0.0526,0,0,0,,92,29,0,0.3152,67,2
RES0163,RES,0.1475,0.037,0,1166,0,0,0,,5,0,0,0.0,26,1,0,0.0385,17,1,0,0.0588,6,0,0,0.0,19,0,0,0.0,42,0,1,0.0,0,0,0,,124,52,0,0.4194,54,2
RES0173,RES,0.1818,0.0448,5,1221,0,0,0,,6,0,0,0.0,39,0,0,0.0,13,2,0,0.1538,8,1,0,0.125,13,0,0,0.0,53,4,0,0.0755,1,0,0,0.0,141,58,0,0.4113,67,3
RES0207,RES,0.1702,0.0541,4,805,0,0,0,,6,0,0,0.0,20,1,0,0.05,4,0,0,0.0,7,1,1,0.1429,10,0,0,0.0,37,3,1,0.0811,0,0,0,,92,30,0,0.3261,37,2
