case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1371,0.1806,3,1065,2,2,0,1.0,5,0,0,0.0,38,10,0,0.2632,11,0,0,0.0,16,1,2,0.0625,19,1,0,0.0526,21,0,0,0.0,0,0,0,,107,62,0,0.5794,72,13
DER0001,DER,0.1705,0.0571,8,1490,7,3,0,0.4286,14,0,0,0.0,11,1,0,0.0909,16,0,0,0.0,20,0,6,0.0,22,0,0,0.0,32,5,0,0.1562,2,0,0,0.0,127,40,0,0.315,70,4
GAS0007,GAS,0.1321,0.1429,14,886,2,1,0,0.5,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,2,1,0.1333,16,0,0,0.0,28,11,0,0.3929,0,0,0,,71,22,0,0.3099,35,5
GEN0001,GEN,0.1067,0.0217,7,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,1,4,0.0769,13,0,0,0.0,55,6,0,0.1091,1,0,0,0.0,121,20,0,0.1653,46,1
MSK0008,MSK,0.1514,0.018,5,1420,0,0,0,,3,0,0,0.0,52,0,0,0.0,48,1,0,0.0208,8,1,1,0.125,8,0,0,0.0,58,4,0,0.069,0,0,0,,133,90,0,0.6767,111,2
MSK0013,MSK,0.1305,0.0326,3,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,0,0,0.0,9,1,3,0.1111,13,0,0,0.0,59,1,2,0.0169,0,0,0,,151,92,0,0.6093,92,3
MSK0017,MSK,0.1839,0.0275,4,1800,0,0,0,,4,0,0,0.0,50,2,0,0.04,38,1,0,0.0263,17,0,5,0.0,11,0,0,0.0,79,4,0,0.0506,0,0,0,,319,199,0,0.6238,109,3
MSK0025,MSK,0.1115,0.0108,3,1524,2,1,0,0.5,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,3,0.0,13,0,0,0.0,40,2,1,0.05,0,0,0,,143,57,0,0.3986,93,1
MSK0026,MSK,0.1198,0.0729,5,1352,2,1,0,0.5,6,1,0,0.1667,52,2,0,0.0385,24,0,0,0.0,12,3,1,0.25,7,0,0,0.0,41,1,0,0.0244,0,0,0,,127,62,0,0.4882,96,7
MSK0041,MSK,0.1322,0.0185,7,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,0,0,0.0,11,0,3,0.0,9,0,0,0.0,63,6,1,0.0952,2,1,0,0.5,142,79,0,0.5563,108,2
MSK0046,MSK,0.135,0.0,1,1252,2,0,0,0.0,6,0,0,0.0,15,0,0,0.0,16,0,0,0.0,10,0,3,0.0,8,0,0,0.0,27,1,0,0.037,0,0,0,,187,74,0,0.3957,49,0
RES0012,RES,0.136,0.0404,11,2095,3,0,0,0.0,12,2,0,0.1667,54,0,0,0.0,20,1,0,0.05,10,1,5,0.1,14,0,0,0.0,93,10,0,0.1075,0,0,0,,325,47,0,0.1446,99,4
RES0021,RES,0.1351,0.0,5,1258,1,0,0,0.0,12,0,0,0.0,47,0,0,0.0,17,0,0,0.0,16,0,1,0.0,11,0,0,0.0,70,5,0,0.0714,0,0,0,,152,77,0,0.5066,93,0
RES0025,RES,0.167,0.0267,3,1371,2,1,0,0.5,4,0,0,0.0,32,0,0,0.0,14,0,0,0.0,23,1,1,0.0435,25,0,0,0.0,29,1,0,0.0345,0,0,0,,171,90,0,0.5263,75,2
RES0030,RES,0.1189,0.0482,2,1186,1,1,0,1.0,6,0,0,0.0,52,3,0,0.0577,12,0,0,0.0,12,0,3,0.0,23,0,0,0.0,34,1,0,0.0294,0,0,0,,112,68,0,0.6071,83,4
RES0047,RES,0.1774,0.0588,5,1697,7,0,0,0.0,10,1,0,0.1,48,1,0,0.0208,14,2,0,0.1429,22,2,1,0.0909,23,1,0,0.0435,40,3,0,0.075,1,0,0,0.0,259,182,0,0.7027,102,6
RES0051,RES,0.1477,0.0149,6,975,1,0,0,0.0,4,0,0,0.0,39,1,0,0.0256,15,0,0,0.0,8,0,3,0.0,13,0,0,0.0,51,6,0,0.1176,0,0,0,,81,51,0,0.6296,67,1
RES0052,RES,0.1927,0.0426,7,820,0,0,0,,1,0,0,0.0,27,2,0,0.0741,12,0,0,0.0,7,0,2,0.0,9,1,0,0.1111,55,7,2,0.1273,0,0,0,,105,75,0,0.7143,47,2
RES0053,RES,0.1912,0.0971,12,1914,1,0,0,0.0,12,0,0,0.0,49,2,0,0.0408,23,2,0,0.087,18,6,1,0.3333,21,1,0,0.0476,76,6,0,0.0789,0,0,0,,149,55,0,0.3691,103,10
RES0059,RES,0.231,0.0723,7,1342,7,1,0,0.1429,6,0,0,0.0,38,3,0,0.0789,17,1,0,0.0588,14,1,2,0.0714,23,0,0,0.0,57,5,1,0.0877,1,0,0,0.0,142,68,0,0.4789,83,6
RES0062,RES,0.1393,0.0168,2,1938,6,0,0,0.0,10,0,0,0.0,55,1,0,0.0182,17,1,0,0.0588,25,0,6,0.0,29,0,0,0.0,60,2,0,0.0333,6,0,0,0.0,215,107,0,0.4977,119,2
RES0071,RES,0.1103,0.0145,1,1296,3,0,0,0.0,4,0,0,0.0,43,1,0,0.0233,16,0,0,0.0,3,0,0,0.0,23,0,0,0.0,35,1,1,0.0286,0,0,0,,140,45,0,0.3214,69,1
RES0074,RES,0.1083,0.061,4,1219,1,1,0,1.0,7,0,0,0.0,33,1,0,0.0303,24,2,0,0.0833,17,1,8,0.0588,18,0,0,0.0,54,2,1,0.037,0,0,0,,132,23,0,0.1742,82,5
RES0083,RES,0.174,0.026,3,971,10,0,0,0.0,7,0,0,0.0,32,2,0,0.0625,15,0,0,0.0,13,0,1,0.0,13,0,0,0.0,29,3,0,0.1034,0,0,0,,89,50,0,0.5618,77,2
RES0098,RES,0.1214,0.0319,3,1442,3,2,0,0.6667,18,1,0,0.0556,35,0,0,0.0,18,0,0,0.0,20,0,1,0.0,24,0,0,0.0,36,1,0,0.0278,0,0,0,,163,60,0,0.3681,94,3
