case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1624,0.0278,1,1065,2,1,0,0.5,5,0,0,0.0,38,1,0,0.0263,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,51,0,0.4766,72,2
DER0001,DER,0.157,0.0143,1,1490,7,1,0,0.1429,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,0,6,0.0,22,0,0,0.0,32,0,0,0.0,2,0,0,0.0,127,39,0,0.3071,70,1
GAS0007,GAS,0.1479,0.0571,6,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,0,0,0.0,15,1,3,0.0667,16,1,0,0.0625,28,5,1,0.1786,0,0,0,,71,20,0,0.2817,35,2
GEN0001,GEN,0.1276,0.0,3,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,0,5,0.0,13,0,0,0.0,55,3,0,0.0545,1,0,0,0.0,121,30,0,0.2479,46,0
MSK0008,MSK,0.181,0.009,6,1420,0,0,0,,3,0,0,0.0,52,0,0,0.0,48,0,0,0.0,8,1,1,0.125,8,0,0,0.0,58,5,0,0.0862,0,0,0,,133,76,0,0.5714,111,1
MSK0013,MSK,0.1716,0.0326,2,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,0,0,0.0,9,1,3,0.1111,13,0,0,0.0,59,0,1,0.0,0,0,0,,151,71,0,0.4702,92,3
MSK0017,MSK,0.1489,0.0,4,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,0,0,0.0,17,0,3,0.0,11,0,0,0.0,79,4,1,0.0506,0,0,0,,319,137,0,0.4295,109,0
MSK0025,MSK,0.1385,0.0,2,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,5,0.0,13,0,0,0.0,40,2,1,0.05,0,0,0,,143,44,0,0.3077,93,0
MSK0026,MSK,0.1435,0.0417,3,1352,2,1,0,0.5,6,1,0,0.1667,52,0,0,0.0,24,0,0,0.0,12,2,2,0.1667,7,0,0,0.0,41,0,0,0.0,0,0,0,,127,55,0,0.4331,96,4
MSK0041,MSK,0.1481,0.0093,2,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,0,0,0.0,11,0,2,0.0,9,0,0,0.0,63,1,1,0.0159,2,0,0,0.0,142,66,0,0.4648,108,1
MSK0046,MSK,0.1534,0.0816,4,1252,2,0,0,0.0,6,0,0,0.0,15,1,0,0.0667,16,1,0,0.0625,10,2,0,0.2,8,0,0,0.0,27,2,0,0.0741,0,0,0,,187,84,0,0.4492,49,4
RES0012,RES,0.18,0.0303,6,2095,3,0,0,0.0,12,1,0,0.0833,54,0,0,0.0,20,1,0,0.05,10,1,6,0.1,14,0,0,0.0,93,5,0,0.0538,0,0,0,,325,100,0,0.3077,99,3
RES0021,RES,0.1733,0.0,4,1258,1,0,0,0.0,12,0,0,0.0,47,0,0,0.0,17,0,0,0.0,16,0,0,0.0,11,0,0,0.0,70,4,1,0.0571,0,0,0,,152,67,0,0.4408,93,0
RES0025,RES,0.1853,0.0133,1,1371,2,0,0,0.0,4,0,0,0.0,32,0,0,0.0,14,0,0,0.0,23,1,1,0.0435,25,0,0,0.0,29,0,0,0.0,0,0,0,,171,66,0,0.386,75,1
RES0030,RES,0.1518,0.0,2,1186,1,0,0,0.0,6,0,0,0.0,52,0,0,0.0,12,0,0,0.0,12,0,3,0.0,23,0,0,0.0,34,2,0,0.0588,0,0,0,,112,58,0,0.5179,83,0
RES0047,RES,0.1467,0.0196,5,1697,7,0,0,0.0,10,0,0,0.0,48,1,0,0.0208,14,0,0,0.0,22,1,1,0.0455,23,1,0,0.0435,40,4,0,0.1,1,0,0,0.0,259,151,0,0.583,102,2
RES0051,RES,0.1723,0.0299,4,975,1,0,0,0.0,4,0,0,0.0,39,2,0,0.0513,15,0,0,0.0,8,0,3,0.0,13,0,0,0.0,51,4,0,0.0784,0,0,0,,81,47,0,0.5802,67,2
RES0052,RES,0.2049,0.0,4,820,0,0,0,,1,0,0,0.0,27,0,0,0.0,12,0,0,0.0,7,0,2,0.0,9,1,0,0.1111,55,4,2,0.0727,0,0,0,,105,68,0,0.6476,47,0
RES0053,RES,0.2205,0.0874,11,1914,1,0,0,0.0,12,0,0,0.0,49,1,0,0.0204,23,2,0,0.087,18,6,1,0.3333,21,1,0,0.0476,76,5,0,0.0658,0,0,0,,149,52,0,0.349,103,9
RES0059,RES,0.1542,0.0482,7,1342,7,2,0,0.2857,6,0,0,0.0,38,1,0,0.0263,17,0,0,0.0,14,1,2,0.0714,23,0,0,0.0,57,4,0,0.0702,1,0,0,0.0,142,64,0,0.4507,83,4
RES0062,RES,0.1734,0.0168,1,1938,6,0,0,0.0,10,0,0,0.0,55,1,0,0.0182,17,1,0,0.0588,25,0,4,0.0,29,0,0,0.0,60,1,0,0.0167,6,0,0,0.0,215,91,0,0.4233,119,2
RES0071,RES,0.1474,0.029,1,1296,3,0,0,0.0,4,0,0,0.0,43,1,0,0.0233,16,1,0,0.0625,3,0,0,0.0,23,0,0,0.0,35,1,2,0.0286,0,0,0,,140,58,0,0.4143,69,2
RES0074,RES,0.224,0.0244,5,1219,1,1,0,1.0,7,0,0,0.0,33,1,0,0.0303,24,0,0,0.0,17,0,9,0.0,18,0,0,0.0,54,4,0,0.0741,0,0,0,,132,48,0,0.3636,82,2
RES0083,RES,0.1751,0.013,1,971,10,0,0,0.0,7,0,0,0.0,32,0,0,0.0,15,0,0,0.0,13,1,1,0.0769,13,0,0,0.0,29,0,0,0.0,0,0,0,,89,36,0,0.4045,77,1
RES0098,RES,0.1373,0.0,1,1442,3,0,0,0.0,18,0,0,0.0,35,0,0,0.0,18,0,0,0.0,20,0,1,0.0,24,0,0,0.0,36,1,0,0.0278,0,0,0,,163,43,0,0.2638,94,0
RES0100,RES,0.1365,0.0093,1,1722,0,0,0,,4,1,0,0.25,56,0,0,0.0,26,0,0,0.0,22,0,2,0.0,35,0,0,0.0,71,1,0,0.0141,0,0,0,,194,45,0,0.232,108,1
RES0104,RES,0.1619,0.0326,1,1526,3,0,0,0.0,11,0,0,0.0,47,3,0,0.0638,17,0,0,0.0,14,0,1,0.0,20,0,0,0.0,52,1,0,0.0192,0,0,0,,169,70,0,0.4142,92,3
RES0106,RES,0.1551,0.0233,2,1257,0,0,0,,5,0,0,0.0,39,2,0,0.0513,13,0,0,0.0,28,0,4,0.0,25,0,0,0.0,69,2,0,0.029,1,0,0,0.0,141,66,0,0.4681,86,2
RES0109,RES,0.1651,0.0167,5,872,3,0,0,0.0,2,0,0,0.0,29,1,0,0.0345,16,0,0,0.0,9,0,0,0.0,11,0,0,0.0,44,5,2,0.1136,1,0,0,0.0,150,70,0,0.4667,60,1
RES0118,RES,0.104,0.0,2,981,0,0,0,,5,0,0,0.0,31,0,0,0.0,18,0,0,0.0,8,0,0,0.0,18,0,0,0.0,46,2,0,0.0435,0,0,0,,121,64,0,0.5289,62,0
RES0123,RES,0.1318,0.0112,4,1753,1,0,0,0.0,5,1,0,0.2,41,0,0,0.0,20,0,0,0.0,21,0,1,0.0,22,0,0,0.0,59,4,2,0.0678,1,0,0,0.0,228,101,0,0.443,89,1
RES0127,RES,0.1597,0.0641,9,1421,1,0,0,0.0,8,1,0,0.125,40,1,0,0.025,18,2,0,0.1111,11,1,2,0.0909,25,0,0,0.0,53,8,0,0.1509,0,0,0,,177,51,0,0.2881,78,5
RES0132,RES,0.1021,0.0119,3,1391,5,1,0,0.2,17,0,0,0.0,32,0,0,0.0,14,0,0,0.0,16,0,0,0.0,20,0,0,0.0,40,2,0,0.05,0,0,0,,216,67,0,0.3102,84,1
RES0134,RES,0.0942,0.008,1,1741,3,0,0,0.0,10,0,0,0.0,65,0,0,0.0,23,0,0,0.0,24,1,1,0.0417,22,0,0,0.0,46,0,0,0.0,0,0,0,,243,61,0,0.251,125,1
RES0143,RES,0.1584,0.038,9,1155,2,0,0,0.0,7,0,0,0.0,39,1,0,0.0256,18,1,0,0.0556,13,1,0,0.0769,23,0,0,0.0,51,8,1,0.1569,0,0,0,,165,70,0,0.4242,79,3
RES0155,RES,0.1589,0.0123,3,1498,6,1,0,0.1667,12,0,0,0.0,38,0,0,0.0,10,0,0,0.0,14,0,0,0.0,16,0,0,0.0,44,2,0,0.0455,1,0,0,0.0,266,101,0,0.3797,81,1
RES0160,RES,0.15,0.0746,7,1107,2,1,0,0.5,6,0,0,0.0,37,0,0,0.0,8,0,0,0.0,14,4,4,0.2857,15,0,0,0.0,38,2,0,0.0526,0,0,0,,92,39,0,0.4239,67,5
RES0163,RES,0.1501,0.0741,1,1166,0,0,0,,5,0,0,0.0,26,2,0,0.0769,17,2,0,0.1176,6,0,0,0.0,19,0,0,0.0,42,1,2,0.0238,0,0,0,,124,46,0,0.371,54,4
RES0173,RES,0.1794,0.0448,6,1221,0,0,0,,6,0,0,0.0,39,0,0,0.0,13,2,0,0.1538,8,1,0,0.125,13,0,0,0.0,53,5,0,0.0943,1,0,0,0.0,141,52,0,0.3688,67,3
RES0207,RES,0.1677,0.0541,2,805,0,0,0,,6,1,0,0.1667,20,1,0,0.05,4,0,0,0.0,7,0,0,0.0,10,0,0,0.0,37,2,1,0.0541,0,0,0,,92,42,0,0.4565,37,2
