case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1315,0.0139,1,1065,2,1,0,0.5,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,0,0,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,62,0,0.5794,72,1
DER0001,DER,0.1416,0.0571,7,1490,7,3,0,0.4286,14,0,0,0.0,11,1,0,0.0909,16,0,0,0.0,20,0,6,0.0,22,0,0,0.0,32,4,0,0.125,2,0,0,0.0,127,48,0,0.378,70,4
GAS0007,GAS,0.1456,0.1143,10,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,2,1,0.1333,16,0,0,0.0,28,8,0,0.2857,0,0,0,,71,20,0,0.2817,35,4
GEN0001,GEN,0.1076,0.0,5,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,0,5,0.0,13,0,0,0.0,55,5,0,0.0909,1,0,0,0.0,121,35,0,0.2893,46,0
MSK0008,MSK,0.1239,0.009,5,1420,0,0,0,,3,0,0,0.0,52,0,0,0.0,48,0,0,0.0,8,1,2,0.125,8,0,0,0.0,58,4,0,0.069,0,0,0,,133,86,0,0.6466,111,1
MSK0013,MSK,0.1121,0.0326,3,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,0,0,0.0,9,1,3,0.1111,13,0,0,0.0,59,1,1,0.0169,0,0,0,,151,81,0,0.5364,92,3
MSK0017,MSK,0.135,0.0,3,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,0,0,0.0,17,0,0,0.0,11,0,0,0.0,79,3,0,0.038,0,0,0,,319,179,0,0.5611,109,0
MSK0025,MSK,0.1024,0.0,1,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,3,0.0,13,0,0,0.0,40,1,1,0.025,0,0,0,,143,60,0,0.4196,93,0
MSK0026,MSK,0.0851,0.0312,2,1352,2,0,0,0.0,6,1,0,0.1667,52,0,0,0.0,24,0,0,0.0,12,2,1,0.1667,7,0,0,0.0,41,0,0,0.0,0,0,0,,127,23,0,0.1811,96,3
MSK0041,MSK,0.1303,0.0185,5,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,0,0,0.0,11,0,3,0.0,9,0,0,0.0,63,4,1,0.0635,2,1,0,0.5,142,79,0,0.5563,108,2
MSK0046,MSK,0.131,0.0204,3,1252,2,0,0,0.0,6,0,0,0.0,15,0,0,0.0,16,0,0,0.0,10,1,0,0.1,8,0,0,0.0,27,2,0,0.0741,0,0,0,,187,104,0,0.5561,49,1
RES0012,RES,0.1532,0.0202,6,2095,3,0,0,0.0,12,1,0,0.0833,54,0,0,0.0,20,1,0,0.05,10,0,6,0.0,14,0,0,0.0,93,6,1,0.0645,0,0,0,,325,108,0,0.3323,99,2
RES0021,RES,0.1367,0.0215,6,1258,1,0,0,0.0,12,0,0,0.0,47,1,0,0.0213,17,1,0,0.0588,16,0,0,0.0,11,0,0,0.0,70,6,0,0.0857,0,0,0,,152,76,0,0.5,93,2
RES0025,RES,0.1619,0.0133,2,1371,2,0,0,0.0,4,0,0,0.0,32,0,0,0.0,14,0,0,0.0,23,1,1,0.0435,25,0,0,0.0,29,1,0,0.0345,0,0,0,,171,91,0,0.5322,75,1
RES0030,RES,0.1121,0.0361,1,1186,1,0,0,0.0,6,0,0,0.0,52,3,0,0.0577,12,0,0,0.0,12,0,3,0.0,23,0,0,0.0,34,1,0,0.0294,0,0,0,,112,66,0,0.5893,83,3
RES0047,RES,0.175,0.0882,5,1697,7,0,0,0.0,10,0,0,0.0,48,6,0,0.125,14,0,0,0.0,22,3,5,0.1364,23,2,0,0.087,40,2,0,0.05,1,0,0,0.0,259,185,0,0.7143,102,9
RES0051,RES,0.1436,0.0149,8,975,1,0,0,0.0,4,0,0,0.0,39,1,0,0.0256,15,0,0,0.0,8,0,3,0.0,13,0,0,0.0,51,8,0,0.1569,0,0,0,,81,52,0,0.642,67,1
RES0052,RES,0.1805,0.0,5,820,0,0,0,,1,0,0,0.0,27,0,0,0.0,12,0,0,0.0,7,0,2,0.0,9,1,0,0.1111,55,5,2,0.0909,0,0,0,,105,73,0,0.6952,47,0
RES0053,RES,0.174,0.0971,10,1914,1,0,0,0.0,12,0,0,0.0,49,1,0,0.0204,23,3,0,0.1304,18,6,1,0.3333,21,1,0,0.0476,76,4,0,0.0526,0,0,0,,149,53,0,0.3557,103,10
RES0059,RES,0.1207,0.0361,5,1342,7,1,0,0.1429,6,0,0,0.0,38,1,0,0.0263,17,0,0,0.0,14,1,2,0.0714,23,0,0,0.0,57,3,1,0.0526,1,0,0,0.0,142,68,0,0.4789,83,3
