case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1746,0.0278,2,1065,2,1,0,0.5,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,1,4,0.0625,19,2,0,0.1053,21,0,0,0.0,0,0,0,,107,62,0,0.5794,72,2
DER0001,DER,0.1322,0.0143,4,1490,7,1,0,0.1429,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,0,6,0.0,22,0,0,0.0,32,3,0,0.0938,2,0,0,0.0,127,45,0,0.3543,70,1
GAS0007,GAS,0.1479,0.1143,7,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,2,1,0.1333,16,0,0,0.0,28,5,0,0.1786,0,0,0,,71,22,0,0.3099,35,4
GEN0001,GEN,0.1094,0.0,5,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,0,5,0.0,13,0,0,0.0,55,5,0,0.0909,1,0,0,0.0,121,36,0,0.2975,46,0
MSK0008,MSK,0.1176,0.018,4,1420,0,0,0,,3,0,0,0.0,52,0,0,0.0,48,1,0,0.0208,8,1,2,0.125,8,0,0,0.0,58,3,0,0.0517,0,0,0,,133,87,0,0.6541,111,2
MSK0013,MSK,0.1102,0.0326,3,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,0,0,0.0,9,1,3,0.1111,13,0,0,0.0,59,1,1,0.0169,0,0,0,,151,76,0,0.5033,92,3
MSK0017,MSK,0.1378,0.0092,3,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,1,0,0.0263,17,0,0,0.0,11,0,0,0.0,79,3,0,0.038,0,0,0,,319,184,0,0.5768,109,1
MSK0025,MSK,0.101,0.0,1,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,3,0.0,13,0,0,0.0,40,1,1,0.025,0,0,0,,143,56,0,0.3916,93,0
MSK0026,MSK,0.0784,0.0312,2,1352,2,0,0,0.0,6,1,0,0.1667,52,0,0,0.0,24,0,0,0.0,12,2,1,0.1667,7,0,0,0.0,41,0,0,0.0,0,0,0,,127,21,0,0.1654,96,3
MSK0041,MSK,0.1788,0.0093,2,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,0,0,0.0,11,0,3,0.0,9,0,0,0.0,63,1,0,0.0159,2,0,0,0.0,142,53,0,0.3732,108,1
