case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1756,0.0417,3,1065,2,2,0,1.0,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,1,4,0.0625,19,2,0,0.1053,21,0,0,0.0,0,0,0,,107,62,0,0.5794,72,3
DER0001,DER,0.1745,0.0857,7,1490,7,3,0,0.4286,14,0,0,0.0,11,2,0,0.1818,16,0,0,0.0,20,1,6,0.05,22,2,0,0.0909,32,3,1,0.0938,2,0,0,0.0,127,49,0,0.3858,70,6
GAS0007,GAS,0.1456,0.1143,4,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,2,1,0.1333,16,0,0,0.0,28,2,1,0.0714,0,0,0,,71,21,0,0.2958,35,4
GEN0001,GEN,0.1103,0.0,4,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,0,5,0.0,13,0,0,0.0,55,4,0,0.0727,1,0,0,0.0,121,34,0,0.281,46,0
MSK0008,MSK,0.1239,0.009,5,1420,0,0,0,,3,0,0,0.0,52,0,0,0.0,48,0,0,0.0,8,1,2,0.125,8,0,0,0.0,58,4,0,0.069,0,0,0,,133,87,0,0.6541,111,1
MSK0013,MSK,0.1191,0.0326,3,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,0,0,0.0,9,1,3,0.1111,13,0,0,0.0,59,1,1,0.0169,0,0,0,,151,82,0,0.543,92,3
MSK0017,MSK,0.1256,0.0092,4,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,0,0,0.0,17,1,0,0.0588,11,0,0,0.0,79,3,0,0.038,0,0,0,,319,155,0,0.4859,109,1
MSK0025,MSK,0.1089,0.0,1,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,3,0.0,13,0,0,0.0,40,1,1,0.025,0,0,0,,143,63,0,0.4406,93,0
MSK0026,MSK,0.1331,0.0312,3,1352,2,0,0,0.0,6,1,0,0.1667,52,0,0,0.0,24,0,0,0.0,12,2,1,0.1667,7,0,0,0.0,41,1,0,0.0244,0,0,0,,127,54,0,0.4252,96,3
MSK0041,MSK,0.1743,0.0093,4,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,0,0,0.0,11,0,3,0.0,9,0,0,0.0,63,3,0,0.0476,2,0,0,0.0,142,52,0,0.3662,108,1
MSK0046,MSK,0.1398,0.0204,2,1252,2,0,0,0.0,6,0,0,0.0,15,0,0,0.0,16,0,0,0.0,10,1,0,0.1,8,0,0,0.0,27,1,0,0.037,0,0,0,,187,102,0,0.5455,49,1
RES0012,RES,0.147,0.0101,4,2095,3,0,0,0.0,12,0,0,0.0,54,0,0,0.0,20,1,0,0.05,10,0,6,0.0,14,0,0,0.0,93,4,1,0.043,0,0,0,,325,92,0,0.2831,99,1
