case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1737,0.0278,2,1065,2,2,0,1.0,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,58,0,0.5421,72,2
DER0001,DER,0.1685,0.0286,4,1490,7,1,0,0.1429,14,0,0,0.0,11,0,0,0.0,16,1,0,0.0625,20,0,6,0.0,22,0,0,0.0,32,3,0,0.0938,2,0,0,0.0,127,42,0,0.3307,70,2
GAS0007,GAS,0.1433,0.0571,6,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,0,3,0.0,16,0,0,0.0,28,6,0,0.2143,0,0,0,,71,22,0,0.3099,35,2
GEN0001,GEN,0.1121,0.0,1,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,0,5,0.0,13,0,0,0.0,55,1,0,0.0182,1,0,0,0.0,121,29,0,0.2397,46,0
MSK0008,MSK,0.2704,0.009,8,1420,0,0,0,,3,0,0,0.0,52,0,0,0.0,48,0,0,0.0,8,1,1,0.125,8,0,0,0.0,58,7,0,0.1207,0,0,0,,133,74,0,0.5564,111,1
MSK0013,MSK,0.1862,0.0326,2,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,0,0,0.0,9,1,3,0.1111,13,0,0,0.0,59,0,1,0.0,0,0,0,,151,68,0,0.4503,92,3
MSK0017,MSK,0.1789,0.0183,4,1800,0,0,0,,4,0,0,0.0,50,2,0,0.04,38,0,0,0.0,17,0,5,0.0,11,0,0,0.0,79,4,1,0.0506,0,0,0,,319,104,0,0.326,109,2
MSK0025,MSK,0.1877,0.0108,1,1524,2,0,0,0.0,2,0,0,0.0,40,1,0,0.025,29,0,0,0.0,20,0,3,0.0,13,0,0,0.0,40,1,1,0.025,0,0,0,,143,43,0,0.3007,93,1
MSK0026,MSK,0.2419,0.0521,3,1352,2,0,0,0.0,6,1,0,0.1667,52,1,0,0.0192,24,2,0,0.0833,12,1,2,0.0833,7,0,0,0.0,41,2,0,0.0488,0,0,0,,127,51,0,0.4016,96,5
MSK0041,MSK,0.2107,0.0093,2,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,0,0,0.0,11,0,2,0.0,9,0,0,0.0,63,1,1,0.0159,2,0,0,0.0,142,58,0,0.4085,108,1
MSK0046,MSK,0.1398,0.0,0,1252,2,0,0,0.0,6,0,0,0.0,15,0,0,0.0,16,0,0,0.0,10,0,3,0.0,8,0,0,0.0,27,0,0,0.0,0,0,0,,187,50,0,0.2674,49,0
RES0012,RES,0.1871,0.0303,7,2095,3,0,0,0.0,12,2,0,0.1667,54,0,0,0.0,20,1,0,0.05,10,0,6,0.0,14,0,0,0.0,93,7,0,0.0753,0,0,0,,325,93,0,0.2862,99,3
RES0021,RES,0.159,0.0,4,1258,1,0,0,0.0,12,0,0,0.0,47,0,0,0.0,17,0,0,0.0,16,0,1,0.0,11,0,0,0.0,70,4,1,0.0571,0,0,0,,152,74,0,0.4868,93,0
RES0025,RES,0.2144,0.0133,2,1371,2,0,0,0.0,4,0,0,0.0,32,0,0,0.0,14,0,0,0.0,23,1,1,0.0435,25,0,0,0.0,29,1,0,0.0345,0,0,0,,171,74,0,0.4327,75,1
