case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.2535,0.0139,1,1065,2,1,0,0.5,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,52,0,0.486,72,1
DER0001,DER,0.1765,0.0286,4,1490,7,1,0,0.1429,14,0,0,0.0,11,0,0,0.0,16,1,0,0.0625,20,0,6,0.0,22,0,0,0.0,32,3,0,0.0938,2,0,0,0.0,127,44,0,0.3465,70,2
GAS0007,GAS,0.1862,0.1429,10,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,3,1,0.2,16,0,0,0.0,28,7,0,0.25,0,0,0,,71,19,0,0.2676,35,5
GEN0001,GEN,0.124,0.0217,4,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,1,5,0.0769,13,0,0,0.0,55,3,0,0.0545,1,0,0,0.0,121,28,0,0.2314,46,1
MSK0008,MSK,0.3085,0.027,6,1420,0,0,0,,3,1,0,0.3333,52,0,0,0.0,48,0,0,0.0,8,2,1,0.25,8,0,0,0.0,58,4,0,0.069,0,0,0,,133,74,0,0.5564,111,3
MSK0013,MSK,0.2236,0.0652,4,1579,4,1,0,0.25,8,0,0,0.0,38,2,0,0.0526,33,1,0,0.0303,9,2,3,0.2222,13,0,0,0.0,59,1,0,0.0169,0,0,0,,151,72,0,0.4768,92,6
MSK0017,MSK,0.1756,0.0183,6,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,0,0,0.0,17,2,3,0.1176,11,0,0,0.0,79,4,1,0.0506,0,0,0,,319,150,0,0.4702,109,2
MSK0025,MSK,0.1929,0.0108,3,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,1,0,0.0345,20,0,3,0.0,13,1,0,0.0769,40,3,1,0.075,0,0,0,,143,44,0,0.3077,93,1
MSK0026,MSK,0.1945,0.0312,1,1352,2,0,0,0.0,6,1,0,0.1667,52,0,0,0.0,24,1,0,0.0417,12,1,3,0.0833,7,0,0,0.0,41,0,0,0.0,0,0,0,,127,50,0,0.3937,96,3
MSK0041,MSK,0.196,0.0093,6,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,0,0,0.0,11,0,3,0.0,9,0,0,0.0,63,5,1,0.0794,2,0,0,0.0,142,56,0,0.3944,108,1
MSK0046,MSK,0.151,0.0612,4,1252,2,2,0,1.0,6,0,0,0.0,15,0,0,0.0,16,0,0,0.0,10,1,0,0.1,8,0,0,0.0,27,1,0,0.037,0,0,0,,187,59,0,0.3155,49,3
